x,exact_density,exact_free_energy,reference_free_energy,proposal_free_energy,reweighted_free_energy
27.59197324414716,0.01276010671543953,2.668614067112335,2.6342583320888338,1.3933705350620795,2.4887859130055814
27.759197324414714,0.010503546738236546,2.8632247235519044,2.827856509831115,1.4496199436635595,2.6698443974683803
27.926421404682273,0.008609457246561165,3.0620764293857636,3.031752633829096,1.5036904463538514,2.8561427759465268
28.093645484949832,0.007034322149227592,3.2641363764033224,3.237980904087169,1.5554788300438913,3.046899834888353
28.26086956521739,0.005736545851325058,3.4680804471383997,3.4390863135363583,1.604910597800104,3.241033226212533
28.42809364548495,0.004677274082602668,3.6722222290220428,3.6411669328749054,1.6519380295458785,3.4371322985020853
28.59531772575251,0.0038208247320039588,3.874471410526839,3.846508546514996,1.6965378165908054,3.633457010062741
28.762541806020067,0.0031350241700619356,4.0723008244691785,4.041837932854105,1.7387083395075522,3.827947287268559
28.929765886287626,0.0025913064363151258,4.2627755441706014,4.2228626789487596,1.7784666511919816,4.01823131196964
29.096989966555185,0.0021646452161586103,4.442681232691129,4.397018733679337,1.8158452294863188,4.201651727783336
29.264214046822744,0.0018334532333568656,4.608736506828302,4.568758899282593,1.850888578063714,4.375363696626487
29.431438127090303,0.0015793205223924363,4.757943002850444,4.733950722109352,1.8836497776774626,4.536557450237629
29.598662207357858,0.0013867597002381628,4.887967833400533,4.875574059448948,1.9141871161663642,4.682796742678104
29.765886287625417,0.001242881226655772,4.997505454086476,4.985886707219805,1.942560946736282,4.812372737259054
29.933110367892976,0.0011370912982129804,5.086464199267391,5.077166090226593,1.9688309322372004,4.924525767553608
30.100334448160535,0.001060772247719508,5.155940529817775,5.146908503713734,1.9930538229351105,5.019439233774202
30.267558528428093,0.0010069907828884495,5.2079712476186995,5.185801626116405,2.0152818847896836,5.098027520997799
30.434782608695652,0.0009702314107300016,5.2451583764475505,5.217199937761299,2.035562046785642,5.161630531183165
30.60200668896321,0.0009461496116339775,5.270292278874951,5.256598111775186,2.0539357754013623,5.211737618226434
30.76923076923077,0.0009313626051981613,5.286044306537771,5.288688066401263,2.0704396202879676,5.249818752104743
30.93645484949833,0.000923264924396334,5.294776768588005,5.299626314820806,2.0851063169391755,5.277286826822119
31.103678929765888,0.0009198736086657109,5.29845670853487,5.289155371914148,2.097966287859889,5.2955654207766685
31.270903010033443,0.0009196995694488755,5.298645925489569,5.274219089537362,2.1090493592956396,5.306189813145841
31.438127090301002,0.0009216416870091826,5.296536465036577,5.282683647762323,2.1183865082695426,5.310846834441152
31.60535117056856,0.0009249029997160648,5.2930041204132365,5.305770134554546,2.126011473009021,5.311290554978747
31.77257525083612,0.0009289200806499264,5.28867027942931,5.311968319285402,2.1319620940518074,5.309147819588233
31.93979933110368,0.0009333117870950731,5.283953665281666,5.303494173811433,2.1362812964815565,5.305698302621764
32.10702341137124,0.0009378362020861443,5.2791176781391735,5.290802128153496,2.139017668335225,5.301729587797303
32.274247491638796,0.0009423587836466416,5.2743069108334755,5.280128035397877,2.140225629696101,5.297525256712054
32.441471571906355,0.0009468296047470858,5.2695738418879285,5.275402230759967,2.1399652169391925,5.292977509127027
32.608695652173914,0.0009512616740361467,5.264903805843188,5.267274064799063,2.1383015253730506,5.28776487662082
32.77591973244147,0.000955720808893055,5.260227157762799,5.264642180879163,2.135303862035563,5.281522683173168
32.94314381270903,0.0009603129872092722,5.255433727585921,5.272078242805357,2.1310446614009453,5.273958715932067
33.11036789297659,0.000965178705988609,5.250379715508253,5.270227859562704,2.125598213763974,5.264907532805773
33.27759197324415,0.000970486671047653,5.244895318848902,5.241484639957478,2.1190392523302246,5.2543434537479445
33.44481605351171,0.0009764296282407305,5.238790304828869,5.2043789973931265,2.1114414428090194,5.242368657104022
33.61204013377927,0.0009832214055595654,5.231858657922567,5.187994005913053,2.1028758195269304,5.229173121410844
33.779264214046826,0.0009910953776026022,5.223882213759479,5.190773895865355,2.093409214585963,5.214958078237278
33.94648829431438,0.0010003024735804212,5.214635280428456,5.196055752878173,2.083102730543857,5.199837646487859
34.11371237458194,0.0010111103164568676,5.20388865800847,5.195434615672903,2.072010311551282,5.1837632430434555
34.280936454849495,0.0010238002697813674,5.191416249721822,5.183894867800684,2.0601774722036814,5.166517043934753
34.448160535117054,0.0010386686905155748,5.176997920427822,5.164186071518211,2.0476402473967314,5.147782807486827
34.61538461538461,0.0010560238620313724,5.160426926623579,5.151242950247507,2.0344244303653034,5.127251788558779
34.78260869565217,0.0010761884142685685,5.14151215566512,5.14692878413214,2.020545169916453,5.104700119259445
34.94983277591973,0.0010994930899514907,5.120088461999008,5.135481151599584,2.0060070011324656,5.079999833355785
35.11705685618729,0.001126279593321326,5.096017902698783,5.115593465445746,1.9908043850248345,5.053076338785281
35.28428093645485,0.0011568973863674548,5.069195953391751,5.087354753516596,1.9749228291145404,5.023859952567573
35.45150501672241,0.0011917008046235884,5.039556173968852,5.0425494112413105,1.9583406491440774,4.992275559596016
35.618729096989966,0.0012310499537327604,5.0070702820948325,4.990464310560921,1.9410314083128282,4.958281862623495
35.785953177257525,0.0012753060501216316,4.971751519156319,4.942663329959708,1.9229670316519614,4.921935379342562
35.953177257525084,0.0013248273609983033,4.933655550909914,4.899321983013616,1.9041215386364265,4.883434416233124
36.12040133779264,0.0013799673184920333,4.892877891636432,4.856801301352434,1.8844752694167028,4.84310225312547
36.2876254180602,0.0014410718798605786,4.849550510570026,4.809740645930122,1.864019405719096,4.801294534815084
36.45484949832776,0.0015084701812491574,4.80384169600472,4.767179527288247,1.8427605169414272,4.758253676412701
36.62207357859532,0.0015824724956125342,4.755949213727443,4.732419499959619,1.82072480825911,4.713966614266999
36.78929765886288,0.0016633623577030107,4.706096637809042,4.681616450074263,1.7979617238038306,4.668093954659865
36.95652173913044,0.0017513890488809597,4.654528492966612,4.620991978242378,1.7745465743870867,4.62001919835915
37.123745819397996,0.0018467632251886956,4.601503209540535,4.570479734000711,1.750581920023548,4.569021437612049
37.290969899665555,0.001949645638250104,4.547290076185419,4.520634719120788,1.7261975388663067,4.514522267713688
37.458193979933114,0.002060134288119037,4.492166539188849,4.464774910868388,1.7015489440784255,4.4563221319624775
37.625418060200666,0.002178257421595176,4.436412499012968,4.407295242002383,1.6768145503257101,4.394741770826333
37.792642140468224,0.002303962228627604,4.380307359398526,4.3523245979544125,1.6521917210487742,4.330622182558876
