bin_left,bin_right,bin_center,reference_density,proposal_density,reweighted_density
0.0,0.5,0.25,4.00001280004096e-07,0.003175785185509659,3.163081463451041e-06
0.5,1.0,0.75,8.00002560008192e-07,0.003657628455035262,3.373376370776978e-06
1.0,1.5,1.25,1.200003840012288e-06,0.0032852950194927504,2.773068022018497e-06
1.5,2.0,1.75,1.600005120016384e-06,0.0023873143808313987,1.8224875070994792e-06
2.0,2.5,2.25,4.00001280004096e-07,0.0023873143808313987,1.6341197193799576e-06
2.5,3.0,2.75,4.00001280004096e-07,0.0024530202812212535,1.4891759908686734e-06
3.0,3.5,3.25,0.0,0.0022997065136449255,1.2454403869018755e-06
3.5,4.0,3.75,8.00002560008192e-07,0.002212098646458452,1.0902607209364006e-06
4.0,4.5,4.25,1.600005120016384e-06,0.0019273730781024137,8.809025496130045e-07
4.5,5.0,4.75,2.400007680024576e-06,0.002014980945288887,8.774984009756486e-07
5.0,5.5,5.25,1.600005120016384e-06,0.002212098646458452,9.574255104061332e-07
5.5,6.0,5.75,3.200010240032768e-06,0.0016645494765429936,7.518642392531052e-07
6.0,6.5,6.25,3.200010240032768e-06,0.0020368829120855055,1.0127004397834242e-06
6.5,7.0,6.75,2.0000064000204802e-06,0.0019711770116956503,1.1432403135856442e-06
7.0,7.5,7.25,4.0000128000409605e-06,0.0021025888124753603,1.5179870709494225e-06
7.5,8.0,7.75,4.400014080045056e-06,0.0021244907792719787,1.9959404339339994e-06
8.0,8.5,8.25,5.200016640053248e-06,0.002080686845678742,2.658877714316521e-06
8.5,9.0,8.75,1.1600037120118784e-05,0.002212098646458452,4.077076515225285e-06
9.0,9.5,9.25,1.1600037120118784e-05,0.0018397652109159402,5.156778770139905e-06
9.5,10.0,9.75,1.880006016019251e-05,0.002277804546848307,9.31609181983949e-06
10.0,10.5,10.25,2.5200080640258047e-05,0.0021244907792719787,1.3407254127252426e-05
10.5,11.0,10.75,3.6800117760376835e-05,0.002474922248017872,2.3175471679220602e-05
11.0,11.5,11.25,4.800015360049152e-05,0.0023873143808313987,3.329626323855311e-05
11.5,12.0,11.75,8.120025984083149e-05,0.0029786674843400936,6.161427221663565e-05
12.0,12.5,12.25,0.00011840037888121242,0.0035043146874589337,0.00010018904203407064
12.5,13.0,12.75,0.00016720053504171213,0.0029786674843400936,0.00011965334451876706
13.0,13.5,13.25,0.00025520081664261326,0.003131981251916422,0.00017240914824802903
13.5,14.0,13.75,0.0003712011878438011,0.004314687458933812,0.0003265218892531291
14.0,14.5,14.25,0.0005848018713659884,0.0039642559901879185,0.00041833546945507197
14.5,15.0,14.75,0.0008772028070489825,0.004884138595645889,0.0007117456018540097
15.0,15.5,15.25,0.0013596043507339223,0.006176354636646371,0.0012477133932382507
15.5,16.0,15.75,0.002124406798101754,0.006877217574138158,0.001902741367476457
16.0,16.5,16.25,0.0033984108749147996,0.008278943449121732,0.003072005382684213
16.5,17.0,16.75,0.005133216426292564,0.00906741425379999,0.004485875223001442
17.0,17.5,17.25,0.008038825724242318,0.011783258136580665,0.007663980946344668
17.5,18.0,17.75,0.012533640107648344,0.014499102019361339,0.011897538501174053
18.0,18.5,18.25,0.018850860322753033,0.01833194620876955,0.018588172891523626
18.5,19.0,18.75,0.028162490119968384,0.022383810066143938,0.02691212042846221
19.0,19.5,19.25,0.040936930998179195,0.030772263349248763,0.042338343930166264
19.5,20.0,19.75,0.057600984323149834,0.03839414779447194,0.058291097725051894
20.0,20.5,20.25,0.07842505096016307,0.04949844496035744,0.08042367058055734
20.5,21.0,20.75,0.10222832713064682,0.06108458539576854,0.10369408249165352
21.0,21.5,21.25,0.12764040844930705,0.07571509921590959,0.13107652070119438
21.5,22.0,21.75,0.15191128611611557,0.0914845153094748,0.1568377046627362
22.0,22.5,22.25,0.1706717461495877,0.10815191204170134,0.17757078249651523
22.5,23.0,22.75,0.18163738123961998,0.12122738621928249,0.18866141789463378
23.0,23.5,23.25,0.18229778335290672,0.12497262254150422,0.18985094647814565
23.5,24.0,23.75,0.17214655086896277,0.11301414867055061,0.17535733532394876
24.0,24.5,24.25,0.15269968863900366,0.09487932016295063,0.15457520886513412
24.5,25.0,24.75,0.1266896054067373,0.07451049104209558,0.12731157099077334
25.0,25.5,25.25,0.09839271485668755,0.05843444741337772,0.06375857971473034
25.5,26.0,25.75,0.07201903046089747,0.043431600157694164,0.07140226810503952
26.0,26.5,26.25,0.04894775663282123,0.03351000919882605,0.04810835535390763
