bin_left,bin_right,bin_center,reference_density,proposal_density,reweighted_density
-311.37027435302736,-311.0749416859945,-311.2226080195109,0.0012595940020413417,0.020823974746130847,0.03805602744942688
-311.0749416859945,-310.7796090189616,-310.92727535247803,0.0016591426370974652,0.02133187656920721,0.0498750000567015
-310.7796090189616,-310.4842763519287,-310.63194268544515,0.0022347635520088226,0.025395091153818012,0.04258706452983198
-310.4842763519287,-310.18894368489583,-310.3366100184123,0.0032099331019762828,0.029289005130732817,0.06119379936679762
-310.18894368489583,-309.89361101786295,-310.0412773513794,0.004252822759580388,0.030982011207653787,0.03109452965798363
-309.89361101786295,-309.59827835083007,-309.7459446843465,0.005810385235222886,0.031320612423037984,0.032483590507504885
-309.59827835083007,-309.3029456837972,-309.45061201731363,0.007029347172682342,0.028950403915348623,0.03571121451960795
-309.3029456837972,-309.0076130167643,-309.15527935028075,0.008817158014289716,0.03318291910765105,0.07754273785819836
-309.0076130167643,-308.71228034973143,-308.85994668324787,0.010110612070149435,0.03504522579226412,0.06636165351108746
-308.71228034973143,-308.4169476826986,-308.56461401621505,0.01223025143917845,0.03961634219995837,0.04804229360481137
-308.4169476826986,-308.1216150156657,-308.26928134918217,0.014939055744641485,0.03504522579226412,0.04545763825979298
-308.1216150156657,-307.82628234863284,-307.9739486821493,0.017722352168507125,0.0423251519230243,0.062384853595686955
-307.82628234863284,-307.53094968159996,-307.6786160151164,0.01949661898858693,0.05028228048455287,0.06455183333962378
-307.53094968159996,-307.2356170145671,-307.3832833480835,0.022699780079799704,0.04672696772301883,0.05853317931631365
-307.2356170145671,-306.9402843475342,-307.08795068105064,0.02544244443908344,0.042155851315332206,0.04914900498976184
-306.9402843475342,-306.6449516805013,-306.79261801401776,0.027832964238656572,0.04909717623070819,0.05412352121953573
-306.6449516805013,-306.34961901346844,-306.4972853469849,0.030731384845498082,0.04300235435379269,0.06903131974500627
-306.34961901346844,-306.05428634643556,-306.201952679952,0.034604975002306394,0.04604976529225044,0.07860542471057382
-306.05428634643556,-305.7589536794027,-305.9066200129191,0.036765246435913945,0.0480813725845556,0.059238807747300004
-305.7589536794027,-305.4636210123698,-305.61128734588624,0.03955531487054196,0.045203262253789955,0.04698178138545076
-305.4636210123698,-305.1682883453369,-305.31595467885336,0.042155767003786405,0.048589274407631895,0.06886548329669194
-305.1682883453369,-304.87295567830404,-305.0206220118205,0.0452573479335429,0.048589274407631895,0.06795168159297633
-304.87295567830404,-304.57762301127116,-304.7252893447876,0.048446965003226976,0.0484199737999398,0.23704560354049964
-304.57762301127116,-304.2822903442383,-304.4299566777547,0.05135892963160098,0.04774277136917141,0.06845526962641854
-304.2822903442383,-303.9869576772054,-304.13462401072184,0.052733647816624055,0.04689626833071092,0.13827976252976878
-303.9869576772054,-303.6916250101725,-303.83929134368896,0.055706560541871,0.04300235435379269,0.0435204641514325
-303.6916250101725,-303.39629234313963,-303.5439586766561,0.05672236215642007,0.046388366507634636,0.06788900755789257
-303.39629234313963,-303.10095967610675,-303.2486260096232,0.05936344635424765,0.04384885739225317,0.052440687660947095
-303.10095967610675,-302.8056270090739,-302.9532933425903,0.06123252132501794,0.040124244023027035,0.060897370684298395
-302.8056270090739,-302.510294342041,-302.65796067555743,0.061733650121528816,0.0484199737999398,0.06125026693145513
-302.510294342041,-302.21496167500817,-302.36262800852455,0.06398872970584016,0.04655766711533569,0.036550362501445464
-302.21496167500817,-301.9196290079753,-302.06729534149173,0.06479459898670334,0.04418745860763737,0.0550700143254886
-301.9196290079753,-301.6242963409424,-301.77196267445885,0.06614222912867188,0.038939139769182354,0.033785237893606115
-301.6242963409424,-301.3289636739095,-301.47663000742597,0.06746954323834914,0.042494452530716396,0.04799477212247888
-301.3289636739095,-301.03363100687665,-301.1812973403931,0.06690746634496542,0.040124244023027035,0.0713286363185849
-301.03363100687665,-300.73829833984377,-300.8859646733602,0.06907450978933675,0.04334095556917689,0.03945256727667184
-300.73829833984377,-300.4429656728109,-300.5906320063273,0.06767270356125933,0.04080144645379542,0.04526385777061882
-300.4429656728109,-300.147633005778,-300.29529933929444,0.06911514185391872,0.037923336123029776,0.04080177865168753
-300.147633005778,-299.8523003387451,-299.99996667226156,0.06854629294977106,0.034537323969188016,0.04810348950437665
-299.8523003387451,-299.55696767171224,-299.7046340052287,0.06766593155049556,0.04486466103840576,0.03865221405726798
-299.55696767171224,-299.26163500467936,-299.4093013381958,0.06746277122758539,0.037076833084569286,0.03171974680299518
-299.26163500467936,-298.9663023376465,-299.1139686711629,0.06703613454947506,0.034368023361495734,0.028551752259297822
-298.9663023376465,-298.6709696706136,-298.81863600413004,0.06580362859048866,0.03267501728457476,0.04088805928138754
-298.6709696706136,-298.3756370035807,-298.52330333709716,0.06465238676066638,0.02962760634611701,0.024927020933477668
-298.3756370035807,-298.08030433654784,-298.2279706700643,0.0631083683065518,0.03758473490764558,0.0696059619597198
-298.08030433654784,-297.78497166951496,-297.9326380030314,0.06346051286626252,0.034368023361495734,0.05332984595906442
-297.78497166951496,-297.4896390024821,-297.6373053359985,0.060765252582325464,0.029966207561501205,0.030548015694006458
-297.4896390024821,-297.1943063354492,-297.34197266896564,0.059390534397302484,0.031659213638422175,0.019566702112161622
-297.1943063354492,-296.8989736684163,-297.04664000193276,0.058672701256354286,0.026918796623043455,0.024905942457319592
