top_fraction,top_percent,cumulative_weight_mass
1e-05,0.001,0.00026295636780560017
2e-05,0.002,0.0004109301371499896
3e-05,0.003,0.0005487104062922299
4e-05,0.004,0.0006863448943477124
5e-05,0.005,0.0008083423235802911
6e-05,0.006,0.0009122157571255229
7e-05,0.006999999999999999,0.0009936339847627096
8e-05,0.008,0.001073655890650116
9e-05,0.009000000000000001,0.0011520190528244711
0.0001,0.01,0.001223907594976481
0.00011,0.011000000000000001,0.0012908369171782397
0.00012,0.012,0.0013496604587999173
0.00013,0.013,0.0014011883104103617
0.00014,0.013999999999999999,0.0014518002135446295
0.00015,0.015,0.001502314320532605
0.00016,0.016,0.001552757999888854
0.00017,0.017,0.0016028676800488029
0.00018,0.018000000000000002,0.001652086473768577
0.00019,0.019,0.0016984671383397654
0.0002,0.02,0.0017448035905545112
0.00021,0.021,0.0017895864584716037
0.00022,0.022000000000000002,0.0018343560441280715
0.00023,0.023,0.0018786553482641466
0.00024,0.024,0.001922334369737655
0.00025,0.025,0.001965844683581963
0.00026,0.026,0.002005434835155029
0.00027,0.027,0.0020442153545445763
0.00028,0.027999999999999997,0.0020823569320782553
0.00029,0.029,0.002119185843184823
0.0003,0.03,0.0021551581485255156
0.00031,0.031,0.0021906916044827085
0.00032,0.032,0.0022260559926507995
0.00033,0.033,0.0022609705265494995
0.00034,0.034,0.0022956557004363276
0.00035,0.034999999999999996,0.0023300347711483482
0.00036,0.036000000000000004,0.002364116968237795
0.00037,0.037,0.002397876582108438
0.00038,0.038,0.0024314532420248725
0.00039,0.039,0.0024648108883411624
0.0004,0.04,0.0024979714398796204
0.00041,0.041,0.002531082438508747
0.00042,0.042,0.0025634182820795104
0.00043,0.043,0.0025957026955438778
0.00044,0.044000000000000004,0.002627360438054893
0.00045,0.045,0.0026589935878291726
0.00046,0.046,0.0026905357008217834
0.00047,0.047,0.0027220761876378674
0.00048,0.048,0.0027535526132851373
0.00049,0.049,0.002784985179459909
0.0005,0.05,0.0028163835922896396
0.00051,0.051000000000000004,0.0028477378109528217
0.00052,0.052,0.002879063664295245
0.00053,0.053,0.002910364702984225
0.00054,0.054,0.002941658727650065
0.00055,0.055,0.00297291013339418
0.00056,0.055999999999999994,0.0030041507197893225
0.00057,0.056999999999999995,0.0030353074325830676
0.00058,0.058,0.0030664603436889593
0.00059,0.059000000000000004,0.003097604578215396
0.0006,0.06,0.003128581422060961
0.00061,0.061,0.0031595476320944726
0.00062,0.062,0.0031904822317301296
0.00063,0.063,0.0032213164231507108
0.00064,0.064,0.003252136091759894
0.00065,0.065,0.0032829358970047906
0.00066,0.066,0.0033137055215775035
0.00067,0.067,0.003344375978485914
0.00068,0.068,0.0033749830872693565
0.00069,0.06899999999999999,0.003405534960620571
0.0007,0.06999999999999999,0.003436077920923708
0.00071,0.07100000000000001,0.0034666046594793443
0.00072,0.07200000000000001,0.0034971234817930963
0.00073,0.073,0.0035276149883429753
0.00074,0.074,0.003558092625098652
0.00075,0.075,0.003588508589018602
0.00076,0.076,0.0036189144611853408
0.00077,0.077,0.0036492911749519408
0.00078,0.078,0.0036795916785195004
0.00079,0.079,0.003709870026796125
0.0008,0.08,0.003740136424312368
0.00081,0.08099999999999999,0.003770352033825475
0.00082,0.082,0.0038005127134965733
0.00083,0.083,0.0038306278074742295
0.00084,0.084,0.0038607330516242655
0.00085,0.08499999999999999,0.0038907442722120322
0.00086,0.086,0.003920737037333311
0.00087,0.087,0.003950645143049769
