x,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.2539448185650306e-07,0.0,0.0
0.46875,1.3380254261258302e-07,0.0,0.0
0.78125,1.4263320874919904e-07,0.0,0.0
1.09375,1.519456586890289e-07,0.0,0.0
1.40625,1.6181656187552769e-07,0.0,0.0
1.71875,1.723442795240818e-07,0.0,0.0
2.03125,1.8365405502074206e-07,0.0,0.0
2.34375,1.9590446376124462e-07,0.0,0.0
2.65625,2.0929547394393888e-07,0.0,0.0
2.96875,2.2407857667896644e-07,0.0,0.0
3.28125,2.4056958334885413e-07,0.0,0.0
3.59375,2.591648703323138e-07,0.0,0.0
3.90625,2.8036208881502633e-07,0.0,0.0
4.21875,3.0478666708481976e-07,0.0,0.0
4.53125,3.3322583591811654e-07,0.0,0.0
4.84375,3.6667243203505686e-07,0.0,0.0
5.15625,4.06381415508131e-07,0.0,0.0
5.46875,4.5394291953192314e-07,0.0,0.0
5.78125,5.113767922614607e-07,0.0,0.0
6.09375,5.812550626745653e-07,0.0,0.0
6.40625,6.668606564569042e-07,0.0,0.0
6.71875,7.723931180300333e-07,1e-05,5.433742452993033e-06
7.03125,9.032352052405136e-07,0.0,0.0
7.34375,1.0662981973275468e-06,1e-05,9.75926356376794e-07
7.65625,1.2704688312977137e-06,0.0,0.0
7.96875,1.5271872687229006e-06,1e-05,1.7729289566604877e-06
8.28125,1.8511938163866116e-06,0.0,0.0
8.59375,2.261492868027323e-06,0.0,0.0
8.90625,2.7825965416757505e-06,0.0,0.0
9.21875,3.4461289864152573e-06,2e-05,4.273639894925293e-06
9.53125,4.292897141625699e-06,1e-05,1.2418213392717183e-05
9.84375,5.375567549938924e-06,1e-05,4.745612848832714e-06
10.15625,6.762135640148408e-06,0.0,0.0
10.46875,8.540439529963858e-06,2e-05,9.856004241611076e-06
10.78125,1.0824063199638914e-05,5e-05,2.2995477856789568e-05
11.09375,1.3760105562200454e-05,2e-05,5.54719714237064e-06
11.40625,1.7539478486886407e-05,4e-05,2.194818538372854e-05
11.71875,2.2410659384778435e-05,6.000000000000001e-05,1.9771462834091678e-05
12.03125,2.869818960127992e-05,5.000000000000001e-05,1.790959495883898e-05
12.34375,3.682771177211679e-05,9e-05,3.257741769302102e-05
12.65625,4.736001612771379e-05,9.000000000000002e-05,4.7113240572392934e-05
12.96875,6.103745928659283e-05,7.000000000000001e-05,3.5624829080613695e-05
13.28125,7.884726945485467e-05,0.00012000000000000002,7.407626924598628e-05
13.59375,0.00010210768846015044,0.00021,0.00011455999715354284
13.90625,0.0001325846267072399,0.00030000000000000003,0.00018881927969855515
14.21875,0.00017264847349134598,0.00033000000000000005,0.00022178942106977251
14.53125,0.00022548277344023422,0.00033,0.0002370337653340453
14.84375,0.0002953583647705145,0.00037000000000000005,0.00028903831389500876
15.15625,0.00038798776789796116,0.00053,0.0004338019475662081
15.46875,0.000510974287854793,0.00067,0.0006005901569002476
15.78125,0.0006743672093140967,0.00081,0.000666700077230482
16.09375,0.0008913268889969425,0.00112,0.000993595597919862
16.40625,0.0011788892783957587,0.0013700000000000001,0.0013364218132786618
16.71875,0.0015587959308270075,0.00175,0.001747603548688075
17.03125,0.0020583205098442005,0.00216,0.0022288490280135973
17.34375,0.00271097488712712,0.0025100000000000005,0.002477736663912779
17.65625,0.003556918114324339,0.00322,0.0034714921109836976
17.96875,0.004642825002720326,0.0045,0.004738102226339613
18.28125,0.006020908886629359,0.0051600000000000005,0.00553616445411828
18.59375,0.007746753952425594,0.007130000000000001,0.007616747215874741
18.90625,0.009875622225298416,0.009180000000000002,0.009824794333559957
19.21875,0.012456989426353636,0.01161,0.012311778924469722
19.53125,0.015527260837697072,0.01485,0.015992116344871368
19.84375,0.019100938426080277,0.0176,0.018985986535758597
20.15625,0.023160942317017073,0.02126,0.022936871818914573
20.46875,0.027649281815730693,0.026120000000000004,0.027717207347203912
20.78125,0.0324597254823957,0.0311,0.03279528297266037
21.09375,0.03743439857590481,0.03592,0.03755951958420733
21.40625,0.042366187812500365,0.04049,0.04232367198632181
21.71875,0.04700833650553265,0.04522999999999999,0.047283901344007465
22.03125,0.051091630961630906,0.04915,0.05150790837840195
22.34375,0.054348205766231276,0.050530000000000005,0.053405462360225094
22.65625,0.056539473067286614,0.05328000000000001,0.05666029158864393
22.96875,0.05748436637292536,0.053680000000000005,0.05752283890894729
23.28125,0.0570833708189508,0.05304,0.057383076199801146
23.59375,0.05533398906279156,0.05112,0.05578008808886092
23.90625,0.052334460469688385,0.047729999999999995,0.05242920392934122
24.21875,0.0482745364772888,0.04324,0.047546023887532894
24.53125,0.04341449107910716,0.03854,0.042582018085766504
24.84375,0.03805574404876962,0.034,0.03764636616222343
25.15625,0.03250795276872694,0.02945,0.0324846501242188
25.46875,0.027057835776280348,0.024560000000000002,0.026905107004572562
25.78125,0.021944274690300785,0.02025,0.022287531293246333
26.09375,0.01734265097784591,0.0158,0.017480173712251423
26.40625,0.013359368497852775,0.012339999999999999,0.013410113961212666
26.71875,0.010035605507524813,0.009030000000000002,0.009817948399731123
27.03125,0.007357946127113171,0.007370000000000001,0.007922393509869754
27.34375,0.005272877046722356,0.00482,0.005036118143760906
27.65625,0.003702194105152125,0.0039900000000000005,0.003991521115202832
27.96875,0.0025569648135306587,0.0033100000000000004,0.002724373015293163
28.28125,0.0017485712440564354,0.00228,0.0018055425813198796
28.59375,0.00119625350250804,0.00203,0.00126405778369565
28.90625,0.0008312989101528972,0.00169,0.0007579817584378402
29.21875,0.0005984847983588944,0.00175,0.000587050420641853
29.53125,0.00045558057534980884,0.0015400000000000001,0.000539348513770604
29.84375,0.0003717033820178489,0.0016500000000000002,0.000285941995971629
30.15625,0.00032518140349276466,0.0017900000000000001,0.0003031780167534164
30.46875,0.0003013862629676142,0.00156,0.00027610236038580786
30.78125,0.0002908076189663351,0.00162,0.00032104722963406597
31.09375,0.00028749139259721083,0.00183,0.00033975739373581104
31.40625,0.00028785905956384833,0.0017100000000000001,0.00028585644328300527
31.71875,0.0002898659693281407,0.0017599999999999998,0.0003074451205451172
32.03125,0.0002924313931863969,0.00166,0.0002905714876329465
32.34375,0.0002950700053199271,0.00197,0.00036220678327406427
32.65625,0.0002976634247880915,0.00139,0.0002625533009753705
32.96875,0.00030032386699326295,0.0017400000000000002,0.0003281810995809688
33.28125,0.0003033153806492078,0.00149,0.0002950126800653136
33.59375,0.0003070094038674146,0.00168,0.00034090467405814096
33.90625,0.0003118598075632403,0.0015400000000000001,0.0003166781767672448
34.21875,0.0003183883876260886,0.00148,0.0003223717602013789
34.53125,0.0003271754470938783,0.00141,0.0003134523052100623
34.84375,0.00033885226083322546,0.0016099999999999999,0.00037564960123314225
35.15625,0.00035409334284881367,0.00152,0.00035736753684419533
35.46875,0.0003736069246030003,0.00143,0.0004046591427145119
35.78125,0.00039812217498147397,0.0013800000000000002,0.00036460691455023823
36.09375,0.00042837164026212216,0.00159,0.00044845206471225553
36.40625,0.0004650672960786961,0.0014600000000000001,0.00044072550549608904
36.71875,0.0005088685969948994,0.00151,0.0004839090624615501
37.03125,0.0005603410862756026,0.0015500000000000002,0.0005601224583252442
37.34375,0.0006199045875325634,0.00183,0.0006613776582934033
37.65625,0.000687770832022491,0.00154,0.0006569382411609461
37.96875,0.0007638716509085322,0.0015400000000000001,0.0007081980529400481
38.28125,0.000847780609337552,0.0017300000000000002,0.0008153704176597091
38.59375,0.0009386331369336904,0.00189,0.0009630107969469395
38.90625,0.001035052673246448,0.00198,0.0010934146024671682
39.21875,0.0011350928223780364,0.0022199999999999998,0.0013195794074674454
39.53125,0.001236207579405507,0.00235,0.0014052074001778638
39.84375,0.0013352628015964668,0.0021000000000000003,0.0012785163696327245
40.15625,0.0014286016208602652,0.0024100000000000002,0.0015367744178185509
40.46875,0.0015121738265844286,0.00207,0.001340627910686322
40.78125,0.0015817339641452921,0.00235,0.0015057660030893324
41.09375,0.0016331049318623755,0.00253,0.0016595222263028233
41.40625,0.0016624937016263804,0.00266,0.001715672200561917
41.71875,0.001666834587286993,0.0024200000000000003,0.0014550249427599552
42.03125,0.0016441250549268861,0.0025800000000000003,0.0015151992171221012
42.34375,0.0015937116991194852,0.0026,0.0014701225273209399
42.65625,0.0015164820625473581,0.0029500000000000004,0.0015618828428647729
42.96875,0.0014149233165444738,0.00301,0.0014523031629905454
43.28125,0.0012930221716065842,0.0029300000000000003,0.0012706933932346124
43.59375,0.0011560008081975602,0.00288,0.0012054880590646696
43.90625,0.001009908294806806,0.0027099999999999997,0.0010198453105798528
44.21875,0.0008611114858099039,0.0021400000000000004,0.0008065598543873171
44.53125,0.0007157485888117388,0.0023000000000000004,0.0007964207130759144
44.84375,0.0005792177474290221,0.00143,0.0004847947946829574
45.15625,0.00045576919832503843,0.0012200000000000002,0.0004724236847030403
