psi,reference_free_energy_kj_mol,implicit_reference_free_energy_kj_mol,proposal_free_energy_kj_mol,reweighted_free_energy_kj_mol
-3.141592653589793,6.611788612202009,6.038542203978196,5.1057436125841305,7.134313408275671
-3.110018858076328,6.289555174021429,5.718506415309273,4.971756356203811,7.085218578653085
-3.0784450625628628,6.118191763268992,5.538760131067651,4.865902211009194,7.053573708805508
-3.046871267049397,6.087429673872794,5.490699318604021,4.787601965621279,7.039307220093813
-3.015297471535932,6.185206226937615,5.564319133500627,4.7362149931442135,7.04234167396466
-2.983723676022467,6.397676254689413,5.74819380606119,4.711031724017576,7.062593116379635
-2.9521498805090016,6.709428631404638,6.029586158792834,4.711265284309506,7.099970338800639
-2.9205760849955364,7.10396036649443,6.394730342879236,4.736042314491182,7.1543740448403375
-2.889002289482071,7.564412483263355,6.829306259474597,4.784393050980791,7.225695910145849
-2.8574284939686057,8.074500262099422,7.319073924031649,4.855240852145239,7.313817521182711
-2.8258546984551405,8.619499344532123,7.8505709073143715,4.947391489829483,7.418609176156205
-2.7942809029416753,9.18710352468672,8.411724657639915,5.059522713120886,7.53992852808602
-2.76270710742821,9.767958555101371,8.99222964184567,5.190174824705343,7.677619045628442
-2.7311333119147445,10.35570262626181,9.583602743518144,5.337743284564956,7.831508260984555
-2.6995595164012793,10.946433925626945,10.178936044654549,5.500474648572128,8.001405765170208
-2.667985720887814,11.537707552457077,10.772464613839402,5.676467416575355,8.187100897567564
-2.636411925374349,12.127397650179832,11.359118494980422,5.8636795343823245,8.388360056775557
-2.604838129860884,12.712908400670093,11.934220967905233,6.059944267645196,8.6049235299392
-2.573264334347418,13.291126395982044,12.49342932098403,6.262995827074739,8.836501692903756
-2.5416905388339535,13.859133946860684,13.032889155370997,6.470505367632607,9.082770366229141
-2.510116743320488,14.415196451623745,13.549421052214976,6.68012675878719,9.343365011356077
-2.4785429478070227,14.959214982257407,14.040487865125266,6.889549890631453,9.617873301215148
-2.4469691522935575,15.491990595317928,14.50383487623231,7.096557464967433,9.905825377821277
-2.4153953567800923,16.0132706408183,14.937046928632283,7.299079613501983,10.206680784662435
-2.383821561266627,16.519315121324034,15.337574796980011,7.495239782981009,10.519810592018814
-2.3522477657531615,17.001306558841357,15.70368510939799,7.683385583986705,10.844472565337945
-2.3206739702396963,17.446110157901288,16.03614416113499,7.862099942306393,11.17977629879357
-2.289100174726231,17.84022646118909,16.33962719480609,8.030190768989874,11.52463399124958
-2.257526379212766,18.175761941791265,16.622604496895317,8.186660929591788,11.87769096264077
-2.225952583699301,18.454832352099377,16.89519727506162,8.330663740530388,12.237228197167639
-2.194378788185835,18.68891743678771,17.16568113348503,8.461451744575784,12.601027542313517
-2.16280499267237,18.893338637178907,17.437032736404788,8.57832756216476,12.966189673160464
-2.131231197158905,19.080580491847094,17.704927097104207,8.680605017096193,13.328897650831987
-2.0996574016454397,19.25621517954505,17.95827225629646,8.767586714868758,13.684128771475823
-2.0680836061319745,19.418937593179255,18.182770159868166,8.838561295049946,14.025340566629307
-2.036509810618509,19.564174888482118,18.366655558236555,8.892820283918132,14.344200394777118
-2.0049360151050437,19.68935083710717,18.505922951599533,8.92969142564875,14.6304940428411
-1.9733622195915785,19.797967825186667,18.6058712301288,8.94858305746055,14.872419377500329
-1.9417884240781134,19.900020078993,18.678075527738944,8.949032846211578,15.05748919006448
-1.910214628564648,20.008280407798498,18.734979887826682,8.93075414194663,15.17413848966245
-1.8786408330511828,20.132137592675054,18.78509267177932,8.893674210536387,15.213798008930631
-1.8470670375377176,20.271197970857177,18.830280112264138,8.837960348698001,15.172780602366725
-1.8154932420242522,20.410447406469952,18.865141128303407,8.764031900434858,15.053170679436874
-1.783919446510787,20.519324599038587,18.87807561545814,8.672558039100574,14.862278303445951
-1.7523456509973219,20.55847040787975,18.85392892527577,8.564442556466917,14.61092775728109
-1.7207718554838565,20.49568379384937,18.778027486722515,8.44079772400563,14.311348487226038
-1.6891980599703913,20.32280067564817,18.640564526040073,8.302909658941857,13.975403166327425
-1.657624264456926,20.058417894412816,18.439364564446063,8.152197720051678,13.613501260385355
-1.6260504689434607,19.733371881803446,18.179483133347308,7.990170435491547,13.234169707976687
-1.5944766734299956,19.372842802121834,17.870074118577847,7.81838040286062,12.844071373698867
-1.5629028779165302,18.98775007695572,17.52064781837431,7.638380491671538,12.4482515828428
-1.531329082403065,18.576705006034583,17.138705923536655,7.451683471508129,12.05045738467248
-1.4997552868895996,18.13360533107613,16.729341456183196,7.259726848245825,11.653444292084629
-1.4681814913761344,17.655298545636402,16.296148311622417,7.063844222004513,11.259234925185137
-1.4366076958626692,17.1452207039383,15.84235745694511,6.865243934818301,10.869321896288309
-1.4050339003492038,16.612012872066046,15.371393206442141,6.6649952280158,10.484820051732278
-1.3734601048357387,16.065369159944705,14.886652491690493,6.464021650331621,10.106577448142147
-1.3418863093222735,15.512305085567053,14.390855774055588,6.263101095315409,9.735254643213644
-1.310312513808808,14.955623063082507,13.88552266377868,6.062871616284343,9.3713805098334
