top_fraction,top_percent,cumulative_weight_mass
0.0001,0.01,0.008043825626373291
0.0002,0.02,0.015468971338123083
0.0003,0.03,0.022271189372986555
0.0004,0.04,0.02734405640512705
0.0005,0.05,0.031940351240336895
0.0006,0.06,0.03640315914526582
0.0007,0.06999999999999999,0.04048604564741254
0.0008,0.08,0.04429607139900327
0.0009,0.09,0.04770443285815418
0.001,0.1,0.05104926857165992
0.0011,0.11,0.05402384093031287
0.0012,0.12,0.05696802353486419
0.0013,0.13,0.05966057954356074
0.0014,0.13999999999999999,0.062304342398419976
0.0015,0.15,0.06490656174719334
0.0016,0.16,0.06747074471786618
0.0017,0.16999999999999998,0.06997272092849016
0.0018,0.18,0.07240060716867447
0.0019,0.19,0.07479925616644323
0.002,0.2,0.07712364522740245
0.0021,0.21,0.07940638321451843
0.0022,0.22,0.08161349361762404
0.0023,0.22999999999999998,0.08378832624293864
0.0024,0.24,0.08596110250800848
0.0025,0.25,0.08811049931682646
0.0026,0.26,0.09025436057709157
0.0027,0.27,0.09227253100834787
0.0028,0.27999999999999997,0.09425104735419154
0.0029,0.29,0.0961869191378355
0.003,0.3,0.09810750605538487
0.0031,0.31,0.09993864735588431
0.0032,0.32,0.10174131696112454
0.0033,0.33,0.10353636974468827
0.0034,0.33999999999999997,0.10525342100299895
0.0035,0.35000000000000003,0.1069410297786817
0.0036,0.36,0.10861920169554651
0.0037,0.37,0.11028851137962192
0.0038,0.38,0.11191482795402408
0.0039,0.38999999999999996,0.11352551192976534
0.004,0.4,0.11513182718772441
0.0041,0.41000000000000003,0.1167128044180572
0.0042,0.42,0.11829181667417288
0.0043,0.43,0.11983135901391506
0.0044,0.44,0.12136827257927507
0.0045,0.44999999999999996,0.12290198833215982
0.0046,0.45999999999999996,0.12443152070045471
0.0047,0.47000000000000003,0.125943798921071
0.0048,0.48,0.1274264082312584
0.0049,0.49,0.1288664755411446
0.005,0.5,0.13025508844293654
0.0051,0.51,0.13160940387751907
0.0052,0.52,0.1329504147870466
0.0053,0.53,0.13428296078927815
0.0054,0.54,0.13560813595540822
0.0055,0.5499999999999999,0.13692290824837983
0.0056,0.5599999999999999,0.13823678821790963
0.0057,0.5700000000000001,0.1395484246313572
0.0058,0.58,0.14084300096146762
0.0059,0.59,0.14211848913691938
0.006,0.6,0.14339388976804912
0.0061,0.61,0.1446652878075838
0.0062,0.62,0.1459354932885617
0.0063,0.63,0.14714054274372756
0.0064,0.64,0.14834011590573937
0.0065,0.65,0.149532817536965
0.0066,0.66,0.1507251097355038
0.0067,0.67,0.1519046894973144
0.0068,0.6799999999999999,0.1530706868506968
0.0069,0.69,0.15423469338566065
0.007,0.7000000000000001,0.1553804175928235
0.0071,0.7100000000000001,0.15652339160442352
0.0072,0.72,0.1576468525454402
0.0073,0.73,0.15876495209522545
0.0074,0.74,0.15988124476280063
0.0075,0.75,0.16098625073209405
0.0076,0.76,0.1620843904092908
0.0077,0.77,0.16317953472025692
0.0078,0.7799999999999999,0.16426936956122518
0.0079,0.79,0.1653545746812597
0.008,0.8,0.16643535101320595
0.0081,0.8099999999999999,0.1674926389241591
0.0082,0.8200000000000001,0.16854277998209
0.0083,0.83,0.16958412097301334
0.0084,0.84,0.17062166321557015
0.0085,0.8500000000000001,0.17165076220408082
0.0086,0.86,0.17267830774653703
0.0087,0.8699999999999999,0.17369729711208493
0.0088,0.88,0.17471367761027068
0.0089,0.89,0.17572945344727486
0.009,0.8999999999999999,0.1767188865924254
0.0091,0.91,0.17770468059461564
0.0092,0.9199999999999999,0.17868435638956726
0.0093,0.9299999999999999,0.17966212064493448
0.0094,0.9400000000000001,0.18063725519459695
0.0095,0.95,0.18160508171422407
0.0096,0.96,0.18256595550337806
0.0097,0.97,0.18352366023464128
0.0098,0.98,0.18447144306264818
0.0099,0.9900000000000001,0.1854122377699241
0.01,1.0,0.186349643568974
0.0101,1.01,0.18728559149894863
0.0102,1.02,0.18822029774310067
0.0103,1.03,0.18915382807608694
0.0104,1.04,0.1900673556374386
0.0105,1.05,0.19097952515585348
0.0106,1.06,0.19189005380030721
0.0107,1.0699999999999998,0.19279667979571968
0.0108,1.08,0.19369550939882174
0.0109,1.09,0.1945932973176241
0.011,1.0999999999999999,0.19549005839508027
0.0111,1.11,0.19638657319592312
0.0112,1.1199999999999999,0.19727675622561947
0.0113,1.13,0.19816242752131075
0.0114,1.1400000000000001,0.1990478690713644
0.0115,1.15,0.19993010762846097
0.0116,1.16,0.20081223855959252
0.0117,1.17,0.20169113820884377
0.0118,1.18,0.20255993749015033
0.0119,1.1900000000000002,0.2034269953146577
0.012,1.2,0.2042906332644634
0.0121,1.21,0.20515190239530057
0.0122,1.22,0.20601316494867206
0.0123,1.23,0.20687340304721147
0.0124,1.24,0.20773284742608666
0.0125,1.25,0.20858262258116156
0.0126,1.26,0.2094291298999451
0.0127,1.27,0.21027107699774206
0.0128,1.28,0.2111105034709908
0.0129,1.29,0.21194506401661783
0.013,1.3,0.21277767210267484
0.0131,1.31,0.21360951190581545
0.0132,1.32,0.21443812135839835
0.0133,1.3299999999999998,0.21525739593198523
0.0134,1.34,0.2160749783506617
0.0135,1.35,0.21688937325961888
0.0136,1.3599999999999999,0.21770225977525115
0.0137,1.37,0.21850915270624682
0.0138,1.38,0.21931417024461553
0.0139,1.39,0.2201162083656527
0.014,1.4000000000000001,0.22090033709537238
0.0141,1.41,0.22168047376908362
0.0142,1.4200000000000002,0.2224603783688508
0.0143,1.43,0.223237230500672
0.0144,1.44,0.224010729289148
0.0145,1.4500000000000002,0.2247835909947753
0.0146,1.46,0.2255564056104049
0.0147,1.47,0.22632012341637164
0.0148,1.48,0.22708246734691784
0.0149,1.49,0.22783958888612688
0.015,1.5,0.22859463945496827
0.0151,1.51,0.22934399137739092
0.0152,1.52,0.23009220079984516
0.0153,1.53,0.230836714617908
0.0154,1.54,0.23157844465458766
0.0155,1.55,0.23231661249883473
0.0156,1.5599999999999998,0.23305429058382288
0.0157,1.5699999999999998,0.23378997901454568
0.0158,1.58,0.2345241423463449
0.0159,1.59,0.23525790247367695
0.016,1.6,0.23598871263675392
0.0161,1.6099999999999999,0.23671894875587896
0.0162,1.6199999999999999,0.23744870035443455
0.0163,1.63,0.23817638936452568
0.0164,1.6400000000000001,0.23890069406479597
0.0165,1.6500000000000001,0.23962308379122987
0.0166,1.66,0.2403452971484512
0.0167,1.67,0.2410670478711836
0.0168,1.68,0.2417879455606453
0.0169,1.69,0.24250632867915556
0.017,1.7000000000000002,0.24321817565942183
0.0171,1.71,0.2439299194375053
