bin_left,bin_right,bin_center,reference_density,implicit_reference_density,proposal_density,reweighted_density
-3.141592653589793,-3.078760800517997,-3.1101767270538954,0.004138020244348784,0.0034377467707849348,0.020690142601946366,0.004769338534261774
-3.078760800517997,-3.015928947446201,-3.047344873982099,0.011108992809828659,0.010886198107485626,0.03501408748021693,0.0059170134501210165
-3.015928947446201,-2.9530970943744057,-2.9845130209103035,0.02724727176278911,0.023809579486547678,0.07798592211502915,0.04510635463625728
-2.9530970943744057,-2.8902652413026098,-2.921681167838508,0.06089255944184019,0.05134338464144537,0.10185916357881288,0.055132990190153906
-2.8902652413026098,-2.827433388230814,-2.8588493147667116,0.11490963909307009,0.09784845901289711,0.10822536130248868,0.10336907845158762
-2.827433388230814,-2.764601535159018,-2.796017461694916,0.1832506349747381,0.15829550639919887,0.14164789935178665,0.1973632841901397
-2.764601535159018,-2.701769682087222,-2.7331856086231197,0.2705310312055409,0.24522593631599202,0.17347888797016567,0.21033262185648494
-2.701769682087222,-2.6389378290154264,-2.670353755551324,0.35927564998434663,0.3186281960699763,0.2291831180523306,0.3147401674486847
-2.6389378290154264,-2.5761059759436304,-2.6075219024795286,0.43315522680844815,0.3872558075311992,0.3103521390291955,0.432636651143907
-2.5761059759436304,-2.5132741228718345,-2.5446900494077322,0.4741216272275011,0.43086426193837846,0.33740847935481766,0.45202906592744224
-2.5132741228718345,-2.4504422698000385,-2.4818581963359367,0.4887638527075045,0.45225468628992915,0.3644648196804398,0.4087432653121858
-2.4504422698000385,-2.3876104167282426,-2.4190263432641403,0.4826523151158509,0.44140031917106193,0.4647324338283337,0.5233330738593023
-2.3876104167282426,-2.324778563656447,-2.356194490192345,0.45260392195689064,0.4215377822731964,0.4201690497626061,0.46473352924481603
-2.324778563656447,-2.2619467105846507,-2.293362637120549,0.4343329710318366,0.4047946822599232,0.46791553269016833,0.3844894731241072
-2.2619467105846507,-2.199114857512855,-2.230530784048753,0.3889739029687885,0.3821628493522613,0.5188451144795817,0.33189409854905777
-2.199114857512855,-2.1362830044410592,-2.1676989309769574,0.36446409075225833,0.3586397487632764,0.5474930042361192,0.3688873119723093
-2.1362830044410592,-2.0734511513692633,-2.104867077905161,0.336771186040078,0.35080932556315525,0.5681831468380656,0.33086919388510694
-2.0734511513692633,-2.0106192982974678,-2.0420352248333655,0.32881345480094804,0.34151467688659093,0.512478916755906,0.3122860952493711
-2.0106192982974678,-1.9477874452256716,-1.9792033717615696,0.32114220188642106,0.3495042550298005,0.587281740009091,0.3490943266192888
-1.9477874452256716,-1.8849555921538759,-1.9163715186897736,0.33183739267181717,0.379902849160355,0.6063803331801226,0.41715172102143294
-1.8849555921538759,-1.82212373908208,-1.853539665617978,0.34141850108373123,0.41026961230228726,0.5936479377327688,0.328035427439015
-1.82212373908208,-1.759291886010284,-1.790707812546182,0.37181703441721653,0.4558834189924244,0.5840986411472551,0.3009401019202452
-1.759291886010284,-1.6964600329384882,-1.7278759594743862,0.41348371518531457,0.5154710296860318,0.5299859604960127,0.34324971688470257
-1.6964600329384882,-1.6336281798666923,-1.6650441064025903,0.47673176307393644,0.5926293460969806,0.557042300821633,0.40663851987537875
-1.6336281798666923,-1.5707963267948963,-1.6022122533307943,0.5443724786065609,0.6789231562414062,0.6382113217984994,0.5545890405448543
-1.5707963267948963,-1.5079644737231006,-1.5393804002589984,0.6524384688339794,0.7796045732413417,0.6334366735057447,0.6252976404622675
-1.5079644737231006,-1.4451326206513047,-1.4765485471872026,0.7276231135812989,0.8696862710313517,0.5761408939926603,0.7264661516479144
-1.4451326206513047,-1.3823007675795087,-1.4137166941154067,0.828208836443931,0.9212206416045073,0.5952394871636878,0.8065923969534076
-1.3823007675795087,-1.319468914507713,-1.350884841043611,0.8865867528142084,0.9455713478975706,0.5840986411472572,0.7878000561875264
-1.319468914507713,-1.256637061435917,-1.288052987971815,0.9153300780499511,0.9090612039522865,0.557042300821633,1.1171140179911314
-1.256637061435917,-1.1938052083641213,-1.225221134900019,0.868220309114291,0.8197434498891178,0.49656342244671453,0.9882047129719791
-1.1938052083641213,-1.1309733552923253,-1.1623892818282233,0.7783616079620063,0.6886634387586302,0.4185775003316841,0.8374200224925061
