y,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.178597886139041e-08,0.0,0.0
0.46875,1.504324969299635e-08,0.0,0.0
0.78125,1.9371128593019386e-08,0.0,0.0
1.09375,2.52620544692886e-08,0.0,0.0
1.40625,3.352086816029062e-08,0.0,0.0
1.71875,4.5516086932696344e-08,0.0,0.0
2.03125,6.367324097938416e-08,0.0,0.0
2.34375,9.247817590216918e-08,0.0,0.0
2.65625,1.4058683384127023e-07,0.0,0.0
2.96875,2.253977318209663e-07,0.0,0.0
3.28125,3.8321429091187454e-07,0.0,0.0
3.59375,6.922411610553219e-07,0.0,0.0
3.90625,1.3250602794500884e-06,0.0,0.0
4.21875,2.6678773193273104e-06,0.0,0.0
4.53125,5.58605707816419e-06,0.0,0.0
4.84375,1.1991693985986229e-05,4e-05,3.053003786518352e-06
5.15625,2.5976666199319275e-05,8e-05,1.7257691133881673e-05
5.46875,5.5843769505400705e-05,7.000000000000001e-05,9.45164229544091e-06
5.78125,0.00011716422006489128,0.00026000000000000003,5.0289755907321504e-05
6.09375,0.000236058670024795,0.0006900000000000002,0.0002900971701428626
6.40625,0.00044987352874036236,0.0015900000000000005,0.0004707715642757444
6.71875,0.000800074567514136,0.0032800000000000004,0.0008054344868602094
7.03125,0.001312662763169471,0.005919999999999999,0.0013016921114662194
7.34375,0.0019690096757663364,0.009209999999999996,0.00205821177540421
7.65625,0.002683731279431997,0.01153,0.002654904479153013
7.96875,0.003313665496743432,0.01325,0.003170980285682267
8.28125,0.003707444292506916,0.014119999999999999,0.003576333629548094
8.59375,0.003772423876281723,0.014939999999999998,0.0038858965362260343
8.90625,0.003515393811703782,0.012769999999999998,0.003485342638921115
9.21875,0.0030306356146967525,0.010579999999999999,0.0030201545817890485
9.53125,0.0024487478886101566,0.008599999999999997,0.002507646670188445
9.84375,0.0018832931066812136,0.006679999999999999,0.0018707785472006026
10.15625,0.0014028231060889335,0.005520000000000002,0.0014446208770514048
10.46875,0.001031051097057412,0.004370000000000001,0.000990673647260006
10.78125,0.0007620367114662939,0.0038999999999999994,0.0007848604865229533
11.09375,0.0005767187679998583,0.0032700000000000003,0.0005695528631167692
11.40625,0.00045410921673413445,0.0030600000000000002,0.0004468918439816515
11.71875,0.00037658625754364726,0.002860000000000002,0.0003656674726997113
12.03125,0.0003312806575467377,0.0030500000000000015,0.00035179535254061315
12.34375,0.00030960731057610215,0.002860000000000002,0.0003103678640378092
12.65625,0.00030621211819737023,0.0028800000000000023,0.00030606577708593017
12.96875,0.0003178907518346275,0.0031700000000000005,0.0003426512560979725
13.28125,0.000342621912777364,0.002680000000000001,0.00031024396363464417
13.59375,0.0003786912356170011,0.003190000000000002,0.000378346907628973
13.90625,0.00042387038468451083,0.0033500000000000014,0.0004221314906292791
14.21875,0.0004746957202533954,0.003880000000000001,0.0005197873849335154
14.53125,0.0005260120054533656,0.0036500000000000018,0.000497128008909821
14.84375,0.0005710383921905637,0.003959999999999999,0.0005437044501022759
15.15625,0.0006021793118207728,0.004529999999999999,0.0006206934591967625
15.46875,0.000612569481450988,0.004459999999999999,0.0006016524358432836
15.78125,0.0005979549652277117,0.004449999999999996,0.000592014839345967
16.09375,0.0005581812745107101,0.00391,0.0005197687354325005
16.40625,0.0004975600356134756,0.0038400000000000005,0.0005300908295333112
16.71875,0.0004238278245153002,0.002570000000000002,0.0003757630827873024
17.03125,0.00034607965239567075,0.002390000000000001,0.0003500806346174788
17.34375,0.00027253283605672073,0.0020300000000000006,0.0002841064679072216
17.65625,0.00020895878570045226,0.0015100000000000011,0.00020455488462685858
17.96875,0.00015817656623700027,0.001230000000000001,0.00016287917416484495
18.28125,0.00012047028914979276,0.0010800000000000009,0.00015587643769461828
18.59375,9.448427269367433e-05,0.0007500000000000004,0.00010466097008004059
18.90625,7.814722278237669e-05,0.0005000000000000002,8.160666395486646e-05
19.21875,6.935940425144465e-05,0.0005600000000000005,6.795676074417489e-05
19.53125,6.637872419108814e-05,0.0006400000000000005,8.209134982660986e-05
19.84375,6.796676829628536e-05,0.0005100000000000004,6.771304183522563e-05
20.15625,7.339416185300934e-05,0.0004000000000000002,6.260372695580202e-05
20.46875,8.239023068646588e-05,0.0005100000000000005,0.00013021723817697214
20.78125,9.509107802188163e-05,0.0006300000000000006,0.00011019817282460652
21.09375,0.00011201366224852368,0.0004300000000000004,0.00010378243490623944
21.40625,0.00013406750207266586,0.0005800000000000005,0.00014910343237874935
21.71875,0.00016260888886412487,0.0006600000000000008,0.00019008918912895648
22.03125,0.00019954154019555194,0.0007500000000000009,0.00020358390550962382
22.34375,0.0002474695836035908,0.0006700000000000008,0.0002377189759607773
22.65625,0.0003099117549558747,0.0007900000000000008,0.00026347001194336066
22.96875,0.00039158859724412113,0.0010000000000000009,0.0004908393930610243
23.28125,0.0004987963712736928,0.0010100000000000007,0.000528258214399466
23.59375,0.0006398813198442392,0.0011600000000000009,0.0006661426464074358
23.90625,0.000825824439840495,0.0013300000000000009,0.0008396463236306713
24.21875,0.0010709380519772409,0.0014200000000000011,0.000900624315406647
24.53125,0.0013936587409153467,0.0017600000000000005,0.0011836528895533822
24.84375,0.0018173939446651981,0.002240000000000001,0.0017781836443233594
25.15625,0.002371339251815778,0.0028400000000000014,0.0024125957718337523
25.46875,0.0030911294419224537,0.0036300000000000017,0.0033289228826753415
25.78125,0.004019120691553145,0.003999999999999999,0.003984137740341471
26.09375,0.0052040314650477456,0.004859999999999997,0.005159952933727144
26.40625,0.006699609739230534,0.006009999999999995,0.006640981521215789
26.71875,0.008561966777453571,0.007419999999999998,0.008645622521962503
27.03125,0.010845252118605049,0.009579999999999995,0.011175978117079667
27.34375,0.013595472830584918,0.011169999999999996,0.013270342279794446
27.65625,0.01684250826678297,0.013799999999999993,0.016591361356157103
27.96875,0.020590746416310216,0.017319999999999988,0.021229052783169736
28.28125,0.02480924272612399,0.01987,0.024294414791964765
28.59375,0.029422805171186527,0.025699999999999997,0.03105016544320147
28.90625,0.034305821723396565,0.028379999999999996,0.03421491878803799
29.21875,0.03928081756313364,0.03314000000000001,0.03937242536940484
29.53125,0.04412351134285915,0.03740000000000004,0.04397298700862508
29.84375,0.04857543793288843,0.04253000000000001,0.049129458786282755
30.15625,0.05236403229987238,0.04489000000000001,0.05185445741135505
30.46875,0.05522858286094573,0.04794000000000001,0.05457497198718789
30.78125,0.05694896219028625,0.04862000000000001,0.05575075227496449
31.09375,0.05737291447838218,0.049300000000000024,0.05687008245529819
31.40625,0.05643729241278964,0.047930000000000014,0.056693672184956675
31.71875,0.05417922064524926,0.04516000000000001,0.05495257309155218
32.03125,0.050734707056462394,0.04062000000000001,0.05069692576921927
32.34375,0.04632444003669848,0.036570000000000005,0.04734210328450974
32.65625,0.0412288962044605,0.03125000000000001,0.041083746261114384
32.96875,0.03575685658636939,0.02652999999999999,0.03781656487934178
33.28125,0.030212506106394234,0.02128,0.028909392659839342
33.59375,0.024866233639175256,0.018,0.024440390273322957
33.90625,0.019933133687535312,0.014650000000000002,0.01981600939761881
34.21875,0.015561387049503972,0.011160000000000002,0.014973926318733061
34.53125,0.01183066823055209,0.009149999999999997,0.0120331510468404
34.84375,0.008758983044311856,0.00668,0.008642943763773222
35.15625,0.006315224185207366,0.004599999999999998,0.006073796784004025
35.46875,0.004434370292125302,0.00352,0.004761157171924874
35.78125,0.0030325596030313894,0.00202,0.0025862533945964186
36.09375,0.002020016071220954,0.00141,0.0021485745362202157
36.40625,0.0013107203186735047,0.0007500000000000002,0.0011877487642073768
36.71875,0.0008285632436130599,0.00042000000000000007,0.000947818952195988
37.03125,0.0005103460588036248,0.00027000000000000006,0.0006646077090807107
37.34375,0.0003063437687617169,6.000000000000001e-05,0.00022063388833612203
37.65625,0.00017925446410610663,1e-05,8.201714596059564e-05
37.96875,0.00010228398170889728,0.0,0.0
38.28125,5.6945949002254335e-05,0.0,0.0
38.59375,3.096085580305621e-05,0.0,0.0
38.90625,1.6461544904132528e-05,0.0,0.0
39.21875,8.579496433842837e-06,0.0,0.0
39.53125,4.4009756602265916e-06,0.0,0.0
39.84375,2.237693338323749e-06,0.0,0.0
40.15625,1.1415953207657586e-06,0.0,0.0
40.46875,5.961840561911362e-07,0.0,0.0
40.78125,3.281424727612159e-07,0.0,0.0
41.09375,1.9678612922412478e-07,0.0,0.0
41.40625,1.3155100009303414e-07,0.0,0.0
