x,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.2539448185650306e-07,0.0,0.0
0.46875,1.3380254261258302e-07,0.0,0.0
0.78125,1.4263320874919904e-07,0.0,0.0
1.09375,1.519456586890289e-07,0.0,0.0
1.40625,1.6181656187552769e-07,0.0,0.0
1.71875,1.723442795240818e-07,0.0,0.0
2.03125,1.8365405502074206e-07,0.0,0.0
2.34375,1.9590446376124462e-07,0.0,0.0
2.65625,2.0929547394393888e-07,0.0,0.0
2.96875,2.2407857667896644e-07,0.0,0.0
3.28125,2.4056958334885413e-07,0.0,0.0
3.59375,2.591648703323138e-07,0.0,0.0
3.90625,2.8036208881502633e-07,0.0,0.0
4.21875,3.0478666708481976e-07,0.0,0.0
4.53125,3.3322583591811654e-07,0.0,0.0
4.84375,3.6667243203505686e-07,0.0,0.0
5.15625,4.06381415508131e-07,0.0,0.0
5.46875,4.5394291953192314e-07,0.0,0.0
5.78125,5.113767922614607e-07,3.3333333333333333e-06,1.4846384207297582e-06
6.09375,5.812550626745653e-07,0.0,0.0
6.40625,6.668606564569042e-07,0.0,0.0
6.71875,7.723931180300333e-07,0.0,0.0
7.03125,9.032352052405136e-07,0.0,0.0
7.34375,1.0662981973275468e-06,0.0,0.0
7.65625,1.2704688312977137e-06,0.0,0.0
7.96875,1.5271872687229006e-06,0.0,0.0
8.28125,1.8511938163866116e-06,0.0,0.0
8.59375,2.261492868027323e-06,0.0,0.0
8.90625,2.7825965416757505e-06,3.3333333333333333e-06,1.6198752296448032e-06
9.21875,3.4461289864152573e-06,0.0,0.0
9.53125,4.292897141625699e-06,0.0,0.0
9.84375,5.375567549938924e-06,0.0,0.0
10.15625,6.762135640148408e-06,6.666666666666667e-06,3.9066589544019495e-06
10.46875,8.540439529963858e-06,6.666666666666667e-06,4.9237413047675e-06
10.78125,1.0824063199638914e-05,3.3333333333333333e-06,1.676431947113813e-06
11.09375,1.3760105562200454e-05,1.6666666666666667e-05,8.714506327670143e-06
11.40625,1.7539478486886407e-05,3e-05,2.550624755854895e-05
11.71875,2.2410659384778435e-05,2.3333333333333336e-05,2.0663430235361906e-05
12.03125,2.869818960127992e-05,3e-05,2.3701341784057167e-05
12.34375,3.682771177211679e-05,4.3333333333333334e-05,3.14177040436539e-05
12.65625,4.736001612771379e-05,3.3333333333333335e-05,2.1327986456910563e-05
12.96875,6.103745928659283e-05,7.666666666666667e-05,5.0956785338922675e-05
13.28125,7.884726945485467e-05,9.666666666666667e-05,7.63490364609971e-05
13.59375,0.00010210768846015044,0.0001233333333333333,9.443513148091578e-05
13.90625,0.0001325846267072399,0.0001566666666666667,0.00012206014470364365
14.21875,0.00017264847349134598,0.00022333333333333333,0.00017826003886374896
14.53125,0.00022548277344023422,0.0002933333333333334,0.00023300347203860757
14.84375,0.0002953583647705145,0.00033,0.00028484276595274426
15.15625,0.00038798776789796116,0.00041,0.0003501651735041546
15.46875,0.000510974287854793,0.0006266666666666666,0.0005450941983954134
15.78125,0.0006743672093140967,0.0008466666666666667,0.0007636704819185587
16.09375,0.0008913268889969425,0.00093,0.0008736364306173052
16.40625,0.0011788892783957587,0.0012933333333333334,0.001216056863516177
16.71875,0.0015587959308270075,0.0017366666666666667,0.0016842977490427499
17.03125,0.0020583205098442005,0.0020633333333333333,0.0020391139802310113
17.34375,0.00271097488712712,0.0027433333333333337,0.0027468899745449185
17.65625,0.003556918114324339,0.0035600000000000007,0.0035630625493409886
17.96875,0.004642825002720326,0.004666666666666667,0.004698601705095034
18.28125,0.006020908886629359,0.005923333333333333,0.006027456289145589
18.59375,0.007746753952425594,0.007846666666666667,0.007956181311135353
18.90625,0.009875622225298416,0.009863333333333332,0.009996358523681238
19.21875,0.012456989426353636,0.012363333333333334,0.012531285505362784
19.53125,0.015527260837697072,0.016003333333333335,0.016202304791461678
19.84375,0.019100938426080277,0.019456666666666667,0.019646403512361806
20.15625,0.023160942317017073,0.023119999999999998,0.023339726004664316
20.46875,0.027649281815730693,0.02818,0.02836275916562421
20.78125,0.0324597254823957,0.03362333333333333,0.03382468184633367
21.09375,0.03743439857590481,0.03797666666666667,0.03814198203593775
21.40625,0.042366187812500365,0.043256666666666665,0.04339803771511519
21.71875,0.04700833650553265,0.04802666666666667,0.04818766773565243
22.03125,0.051091630961630906,0.05239,0.05255738896394683
22.34375,0.054348205766231276,0.05492999999999999,0.05508826385918493
22.65625,0.056539473067286614,0.057313333333333334,0.0574606248076634
22.96875,0.05748436637292536,0.05807333333333333,0.05821774850436701
23.28125,0.0570833708189508,0.058379999999999994,0.05854583038194933
23.59375,0.05533398906279156,0.05646,0.05663668950347043
23.90625,0.052334460469688385,0.05260666666666667,0.05279909725249965
24.21875,0.0482745364772888,0.04899666666666667,0.04935850283124414
24.53125,0.04341449107910716,0.043473333333333336,0.04393748562520714
24.84375,0.03805574404876962,0.03805,0.03858499379423769
25.15625,0.03250795276872694,0.03224333333333334,0.03286968295744797
25.46875,0.027057835776280348,0.02685666666666667,0.027551034991287263
25.78125,0.021944274690300785,0.021936666666666667,0.022571350663009755
26.09375,0.01734265097784591,0.016866666666666665,0.017474591214068656
26.40625,0.013359368497852775,0.0131,0.013609785913892348
26.71875,0.010035605507524813,0.009726666666666666,0.010086019537561743
27.03125,0.007357946127113171,0.007436666666666667,0.007675748860201117
27.34375,0.005272877046722356,0.00529,0.005413781154411263
27.65625,0.003702194105152125,0.0035066666666666666,0.0034836229906886913
27.96875,0.0025569648135306587,0.0026633333333333335,0.0026031184555100973
28.28125,0.0017485712440564354,0.0016933333333333331,0.0016239969320158813
28.59375,0.00119625350250804,0.00113,0.001025084328517868
28.90625,0.0008312989101528972,0.00081,0.0007314534676391823
29.21875,0.0005984847983588944,0.0006133333333333334,0.0005561541411741469
29.53125,0.00045558057534980884,0.0004366666666666667,0.0003903267389849523
29.84375,0.0003717033820178489,0.00029666666666666665,0.00026109055787700713
30.15625,0.00032518140349276466,0.00028333333333333335,0.00021189624589023015
30.46875,0.0003013862629676142,0.00022666666666666666,0.0001856679099116706
30.78125,0.0002908076189663351,0.00025666666666666665,0.00023315932301591884
31.09375,0.00028749139259721083,0.00032,0.0002746235864349236
31.40625,0.00028785905956384833,0.0002933333333333334,0.00027671135288939074
31.71875,0.0002898659693281407,0.00023666666666666665,0.00021360423572622212
32.03125,0.0002924313931863969,0.00024,0.00024463466750374437
32.34375,0.0002950700053199271,0.0003166666666666667,0.0002988405209513581
32.65625,0.0002976634247880915,0.0003133333333333333,0.0002909269405045135
32.96875,0.00030032386699326295,0.0003033333333333333,0.00028500333187693786
33.28125,0.0003033153806492078,0.00037666666666666664,0.000348505118642775
33.59375,0.0003070094038674146,0.0003333333333333333,0.00032365995838537476
33.90625,0.0003118598075632403,0.00034,0.00032021487232369644
34.21875,0.0003183883876260886,0.00028,0.0002553434153763701
34.53125,0.0003271754470938783,0.00031999999999999997,0.0002901709226276071
34.84375,0.00033885226083322546,0.0004333333333333333,0.000397683727545926
35.15625,0.00035409334284881367,0.0004,0.0003620300035183765
35.46875,0.0003736069246030003,0.00043333333333333337,0.00039439089061136514
35.78125,0.00039812217498147397,0.0004733333333333333,0.00045086745905636267
36.09375,0.00042837164026212216,0.0005200000000000001,0.00048618989408493276
36.40625,0.0004650672960786961,0.0004933333333333334,0.00046407655427421
36.71875,0.0005088685969948994,0.0004966666666666667,0.0004732940458483446
37.03125,0.0005603410862756026,0.0005166666666666667,0.0004807261150245682
37.34375,0.0006199045875325634,0.0005466666666666667,0.0004452329620106675
37.65625,0.000687770832022491,0.0005766666666666666,0.0004951419599630853
37.96875,0.0007638716509085322,0.0005733333333333334,0.00046745507474063325
38.28125,0.000847780609337552,0.0007166666666666667,0.0005852097536158693
38.59375,0.0009386331369336904,0.0006533333333333333,0.000557576190806757
38.90625,0.001035052673246448,0.0007366666666666667,0.0005414457862629699
39.21875,0.0011350928223780364,0.0007233333333333334,0.0004897426097693746
39.53125,0.001236207579405507,0.0007033333333333334,0.00047226428032049275
39.84375,0.0013352628015964668,0.0007666666666666667,0.0005725226741177458
40.15625,0.0014286016208602652,0.0008266666666666667,0.000594109000946879
40.46875,0.0015121738265844286,0.0008333333333333333,0.000540846024884423
40.78125,0.0015817339641452921,0.00098,0.0005692734049749659
41.09375,0.0016331049318623755,0.00101,0.0005457326096750837
41.40625,0.0016624937016263804,0.0009433333333333334,0.000516773545563534
41.71875,0.001666834587286993,0.00091,0.0005161456428151324
42.03125,0.0016441250549268861,0.0009400000000000001,0.0005400789326499298
42.34375,0.0015937116991194852,0.0008633333333333334,0.0004824493839267381
42.65625,0.0015164820625473581,0.001,0.0005477816065814703
42.96875,0.0014149233165444738,0.0008166666666666667,0.0004705207478819032
43.28125,0.0012930221716065842,0.0008533333333333333,0.00048354491573517294
