bin_left,bin_right,bin_center,exact_density,exact_display_density,proposal_density,reweighted_density
-13.030936339766818,-12.998800838734297,-13.014868589250558,0.0,0.0,0.0,0.0
-12.998800838734297,-12.966665337701777,-12.982733088218037,0.0,0.0,0.0,0.0
-12.966665337701777,-12.934529836669256,-12.950597587185516,0.0,1.2548450966300206e-05,0.0,0.0
-12.934529836669256,-12.902394335636734,-12.918462086152996,0.0,0.00014359114965792076,0.0,0.0
-12.902394335636734,-12.870258834604213,-12.886326585120473,0.0,0.0008776736578209439,0.0,0.0
-12.870258834604213,-12.838123333571692,-12.854191084087953,0.0,0.004156322149601524,0.0,0.0
-12.838123333571692,-12.805987832539172,-12.822055583055432,0.0,0.01567489748646423,0.0,0.0
-12.805987832539172,-12.773852331506651,-12.789920082022912,0.0,0.047746243394152406,0.0,0.0
-12.773852331506651,-12.74171683047413,-12.757784580990391,0.0,0.11828718457902941,0.0,0.0
-12.74171683047413,-12.70958132944161,-12.72564907995787,0.0,0.24032807659778002,0.0,0.0
-12.70958132944161,-12.677445828409088,-12.693513578925348,0.18752214161423725,0.40460842515004247,0.010580199127933518,0.1359675185901927
-12.677445828409088,-12.645310327376567,-12.661378077892827,0.9230063222304309,0.5723942121456752,0.03578596763860072,0.6083151393728656
-12.645310327376567,-12.613174826344046,-12.629242576860307,0.8871838318940148,0.6945523102455254,0.031740597383802395,0.5663107679991397
-12.613174826344046,-12.581039325311526,-12.597107075827786,1.1999551717276182,0.746977059187157,0.03765306160235381,0.7691159399809303
-12.581039325311526,-12.548903824279005,-12.564971574795265,0.49729563029473317,0.7482445549092153,0.0348524206567242,0.5944243052886938
-12.548903824279005,-12.516768323246485,-12.532836073762745,0.48797530732665434,0.7377907021834511,0.03454123832943192,0.6680029231117162
-12.516768323246485,-12.484632822213964,-12.500700572730224,0.6261350725823684,0.7362967031371778,0.03391887367484678,0.7041227346480701
-12.484632822213964,-12.452497321181442,-12.468565071697704,1.2132808708765985,0.733049460409427,0.03423005600213689,0.6987813556569039
-12.452497321181442,-12.420361820148921,-12.436429570665181,0.7362084877912304,0.7112616192884486,0.03049586807463278,0.6706884807007792
-12.420361820148921,-12.3882263191164,-12.40429406963266,0.42463420585566203,0.6746135430154094,0.04449907280278034,0.876145451887433
-12.3882263191164,-12.35609081808388,-12.37215856860014,0.6925623757406307,0.6428626799600075,0.03236296203838589,0.626601457934352
-12.35609081808388,-12.32395531705136,-12.34002306756762,0.5377531723976134,0.6293805776393278,0.026450497819834287,0.5177240828228489
-12.32395531705136,-12.291819816018839,-12.307887566535099,0.5123467388524934,0.6297121434728411,0.031118232729216683,0.615704885345731
-12.291819816018839,-12.259684314986316,-12.275752065502576,0.9980573268626727,0.6288121184826301,0.03734187927505796,0.6020952362920059
-12.259684314986316,-12.227548813953796,-12.243616564470056,0.36558940438018406,0.6149637748503013,0.02738404480171068,0.508624397804028
-12.227548813953796,-12.195413312921275,-12.211481063437535,0.8223695514718597,0.587177899668225,0.03205177971109318,0.516070204373667
-12.195413312921275,-12.163277811888754,-12.179345562405015,0.345997753748124,0.5528963816954114,0.032362962038385346,0.5993637495786251
-12.163277811888754,-12.131142310856234,-12.147210061372494,0.6605989600822271,0.5222510853605384,0.030184685747340182,0.4988940366726812
-12.131142310856234,-12.099006809823713,-12.115074560339973,0.4270079942032451,0.503369640340899,0.030184685747340182,0.49927603772945045
-12.099006809823713,-12.066871308791193,-12.082939059307453,0.2037030900512295,0.497679555023654,0.027072862474418515,0.4271574842896326
-12.066871308791193,-12.034735807758672,-12.050803558274932,0.8941547620661335,0.49817474869356965,0.029873503420048013,0.4937989190786643
-12.034735807758672,-12.00260030672615,-12.018668057242412,0.38750007240110856,0.4958489374458021,0.02489458618337197,0.42076585056459637
-12.00260030672615,-11.970464805693629,-11.98653255620989,0.4700170690755495,0.48753358497299065,0.02925113876546368,0.46570588742416413
-11.970464805693629,-11.938329304661108,-11.954397055177369,0.36350281672953944,0.4738770905239233,0.027384044801710788,0.48331861640545987
-11.938329304661108,-11.906193803628588,-11.922261554144848,0.7036805680831134,0.4528683967079955,0.028006409456295015,0.45662003573420284
-11.906193803628588,-11.874058302596067,-11.890126053112327,0.3424243898455215,0.42202498002934413,0.028317591783587073,0.4370191753502311
-11.874058302596067,-11.841922801563546,-11.857990552079807,0.4103442328839514,0.3862224049221301,0.026450497819834287,0.37025661120411507
-11.841922801563546,-11.809787300531024,-11.825855051047284,0.31911326355554337,0.3583540344963932,0.030184685747338406,0.4312413999843413
-11.809787300531024,-11.777651799498503,-11.793719550014764,0.15489462528470552,0.3499178804493734,0.028628774110879347,0.42219917740746654
-11.777651799498503,-11.745516298465983,-11.761584048982243,0.3742456778311464,0.3609276597642063,0.028628774110879347,0.38508258380663646
-11.745516298465983,-11.713380797433462,-11.729448547949723,0.5061097375892425,0.37936487212123166,0.029873503420048013,0.4201944343186265
-11.713380797433462,-11.681245296400942,-11.697313046917202,0.35242687168267045,0.3906714119963218,0.028939956438171623,0.363949531473682
-11.681245296400942,-11.649109795368421,-11.665177545884681,0.5422353079253959,0.3873826418024766,0.024894586183373344,0.3389555952733626
-11.649109795368421,-11.6169742943359,-11.63304204485216,0.19574853912956033,0.3700367716072627,0.030184685747340075,0.41301616020828685
-11.6169742943359,-11.58483879330338,-11.60090654381964,0.5093404629934547,0.34247950255181847,0.02831759178358729,0.3710846317233568
-11.58483879330338,-11.552703292270857,-11.56877104278712,0.30800076064709625,0.309531389284629,0.022716309892326814,0.2916691397498122
