top_fraction,top_percent,cumulative_weight_mass
1e-05,0.001,2.742319156823214e-05
2e-05,0.002,5.261439582682215e-05
3e-05,0.003,7.771248601784464e-05
4e-05,0.004,0.00010263015610689763
5e-05,0.005,0.00012741888895106968
6e-05,0.006,0.0001500565449532587
7e-05,0.006999999999999999,0.00017265733367821667
8e-05,0.008,0.0001952256861841306
9e-05,0.009000000000000001,0.00021750927407993004
0.0001,0.01,0.00023978818717296235
0.00011,0.011000000000000001,0.00026205278481938876
0.00012,0.012,0.0002842678368324414
0.00013,0.013,0.00030642022466054186
0.00014,0.013999999999999999,0.00032853373340913095
0.00015,0.015,0.00035059298352280166
0.00016,0.016,0.00037234559749776963
0.00017,0.017,0.00039377073153445963
0.00018,0.018000000000000002,0.0004151831417402718
0.00019,0.019,0.0004365675740700681
0.0002,0.02,0.0004578970529109938
0.00021,0.021,0.0004792208783328533
0.00022,0.022000000000000002,0.0005005025686841691
0.00023,0.023,0.0005217516663833521
0.00024,0.024,0.000542993997441954
0.00025,0.025,0.0005640741364913993
0.00026,0.026,0.0005851532896485878
0.00027,0.027,0.0006060186187824002
0.00028,0.027999999999999997,0.0006268616325542098
0.00029,0.029,0.0006476535854744725
0.0003,0.03,0.0006683536375930998
0.00031,0.031,0.0006890209242556011
0.00032,0.032,0.0007096771969372639
0.00033,0.033,0.0007302651665668236
0.00034,0.034,0.000750838535168441
0.00035,0.034999999999999996,0.0007714040166320046
0.00036,0.036000000000000004,0.0007918966675788397
0.00037,0.037,0.0008123816587612964
0.00038,0.038,0.0008328629392053699
0.00039,0.039,0.0008533301806892268
0.0004,0.04,0.0008737898097024299
0.00041,0.041,0.0008942275198933203
0.00042,0.042,0.0009146532083832426
0.00043,0.043,0.0009350440013804473
0.00044,0.044000000000000004,0.0009554216321703279
0.00045,0.045,0.0009757562820595922
0.00046,0.046,0.0009960840670828475
0.00047,0.047,0.0010163591341552092
0.00048,0.048,0.0010366065507696476
0.00049,0.049,0.0010568493707978632
0.0005,0.05,0.0010770889475679724
0.00051,0.051000000000000004,0.0010970413986797212
0.00052,0.052,0.0011168995424668537
0.00053,0.053,0.0011367484457878163
0.00054,0.054,0.0011565769927983638
0.00055,0.055,0.0011763384645746555
0.00056,0.055999999999999994,0.0011960573538090102
0.00057,0.056999999999999995,0.0012157656965428032
0.00058,0.058,0.0012354534501355374
0.00059,0.059000000000000004,0.0012551271265692776
