psi,reference_free_energy_kj_mol,implicit_reference_free_energy_kj_mol,proposal_free_energy_kj_mol,reweighted_free_energy_kj_mol
-3.141592653589793,6.611788612202009,6.038542203978196,6.039586482280257,7.264218122617628
-3.110018858076328,6.289555174021429,5.718506415309273,5.882337849529723,7.171475224377669
-3.0784450625628628,6.118191763268992,5.538760131067651,5.764061487156906,7.103341206507855
-3.046871267049397,6.087429673872794,5.490699318604021,5.683581954309705,7.059613304160351
-3.015297471535932,6.185206226937615,5.564319133500627,5.639566123352476,7.040074110268231
-2.983723676022467,6.397676254689413,5.74819380606119,5.630500620843907,7.044489660742908
-2.9521498805090016,6.709428631404638,6.029586158792834,5.654667561226427,7.072607147001303
-2.9205760849955364,7.10396036649443,6.394730342879236,5.710119597263161,7.12415218584948
-2.889002289482071,7.564412483263355,6.829306259474597,5.794656049086498,7.198825567275684
-2.8574284939686057,8.074500262099422,7.319073924031649,5.905802833213771,7.296299391362815
-2.8258546984551405,8.619499344532123,7.8505709073143715,6.040800039604521,7.416212497084954
-2.7942809029416753,9.18710352468672,8.411724657639915,6.1966021356466845,7.558165079368026
-2.76270710742821,9.767958555101371,8.99222964184567,6.369896591652698,7.7217123881595615
-2.7311333119147445,10.35570262626181,9.583602743518144,6.5571467283237475,7.906357406725855
-2.6995595164012793,10.946433925626945,10.178936044654549,6.754663170568406,8.111542419151641
-2.667985720887814,11.537707552457077,10.772464613839402,6.958704915773392,8.33663940312044
-2.636411925374349,12.127397650179832,11.359118494980422,7.165605565882345,8.580939228408077
-2.604838129860884,12.712908400670093,11.934220967905233,7.371913427649943,8.84363970951643
-2.573264334347418,13.291126395982044,12.49342932098403,7.574527687969651,9.123832657536779
-2.5416905388339535,13.859133946860684,13.032889155370997,7.770809207199919,9.420490204654644
-2.510116743320488,14.415196451623745,13.549421052214976,7.95864594082377,9.732450832797202
-2.4785429478070227,14.959214982257407,14.040487865125266,8.13646042248695,10.058405714647995
-2.4469691522935575,15.491990595317928,14.50383487623231,8.303158609658976,10.396886144281217
-2.4153953567800923,16.0132706408183,14.937046928632283,8.458032169251956,10.74625294751166
-2.383821561266627,16.519315121324034,15.337574796980011,8.600635895804647,11.104688741894549
-2.3522477657531615,17.001306558841357,15.70368510939799,8.730665633194238,11.470193656330988
-2.3206739702396963,17.446110157901288,16.03614416113499,8.84785936585782,11.840584492548649
-2.289100174726231,17.84022646118909,16.33962719480609,8.951936705826164,12.213496193696214
-2.257526379212766,18.175761941791265,16.622604496895317,9.04258247688755,12.58638281690904
-2.225952583699301,18.454832352099377,16.89519727506162,9.1194709925599,12.956513067445055
-2.194378788185835,18.68891743678771,17.16568113348503,9.182320652663776,13.320953172053668
-2.16280499267237,18.893338637178907,17.437032736404788,9.230964451293712,13.676528144451964
-2.131231197158905,19.080580491847094,17.704927097104207,9.26542097237095,14.019752487550317
-2.0996574016454397,19.25621517954505,17.95827225629646,9.285952014704531,14.346724760781896
-2.0680836061319745,19.418937593179255,18.182770159868166,9.293096386502855,14.65298932617825
-2.036509810618509,19.564174888482118,18.366655558236555,9.287673754396884,14.93338510033148
-2.0049360151050437,19.68935083710717,18.505922951599533,9.270756892055314,15.181926191721505
-1.9733622195915785,19.797967825186667,18.6058712301288,9.243614624992624,15.391789828159101
-1.9417884240781134,19.900020078993,18.678075527738944,9.207630865766284,15.55551150041606
-1.910214628564648,20.008280407798498,18.734979887826682,9.164207280813331,15.66548243029077
-1.8786408330511828,20.132137592675054,18.78509267177932,9.11465839437206,15.714780660365737
-1.8470670375377176,20.271197970857177,18.830280112264138,9.060108464410028,15.698232592953563
-1.8154932420242522,20.410447406469952,18.865141128303407,9.001399428970785,15.613439696455035
-1.783919446510787,20.519324599038587,18.87807561545814,8.939018757493141,15.46142037574533
-1.7523456509973219,20.55847040787975,18.85392892527577,8.873055196479093,15.246607615939404
-1.7207718554838565,20.49568379384937,18.778027486722515,8.803189059381717,14.976191246855084
-1.6891980599703913,20.32280067564817,18.640564526040073,8.728721580719949,14.659048866087216
-1.657624264456926,20.058417894412816,18.439364564446063,8.648644539122959,14.30461506399577
-1.6260504689434607,19.733371881803446,18.179483133347308,8.561746593882134,13.92196597856023
-1.5944766734299956,19.372842802121834,17.870074118577847,8.466746801576722,13.51923792350784
-1.5629028779165302,18.98775007695572,17.52064781837431,8.362439604525242,13.10336191686936
-1.531329082403065,18.576705006034583,17.138705923536655,8.247831028834566,12.680027610887628
-1.4997552868895996,18.13360533107613,16.729341456183196,8.122244986546505,12.253781094265628
-1.4681814913761344,17.655298545636402,16.296148311622417,7.985382816131679,11.828182032908103
-1.4366076958626692,17.1452207039383,15.84235745694511,7.837328198341716,11.40597308131861
-1.4050339003492038,16.612012872066046,15.371393206442141,7.678501065856137,10.989236990104335
-1.3734601048357387,16.065369159944705,14.886652491690493,7.509574630547361,10.57953160248809
-1.3418863093222735,15.512305085567053,14.390855774055588,7.331376053232713,10.178001169022538
-1.310312513808808,14.955623063082507,13.88552266377868,7.144792081366964,9.785466264692017
-1.278738718295343,14.3945804453922,13.370962251601645,6.950696696296582,9.402495912324285
-1.2471649227818777,13.826840989684557,12.846820716127489,6.749910382463348,9.02946555067295
-1.2155911272684123,13.250625183995377,12.31292079722476,6.543192410478994,8.666603972568854
-1.1840173317549472,12.666210796035095,11.770004223141855,6.33126047213099,8.314031689708969
-1.1524435362414818,12.076386612382521,11.220079492038648,6.114827329204363,7.971792541864401
-1.1208697407280166,11.485953699460973,10.66630212440517,5.8946423126721434,7.639879834339883
