bin_left,bin_right,bin_center,exact_density,exact_display_density,proposal_density,reweighted_density
-13.030936339766818,-12.998800838734297,-13.014868589250558,0.0,0.0,0.0,0.0
-12.998800838734297,-12.966665337701777,-12.982733088218037,0.0,0.0,0.0,0.0
-12.966665337701777,-12.934529836669256,-12.950597587185516,0.0,1.2548450966300206e-05,0.0,0.0
-12.934529836669256,-12.902394335636734,-12.918462086152996,0.0,0.00014359114965792076,0.0,0.0
-12.902394335636734,-12.870258834604213,-12.886326585120473,0.0,0.0008776736578209439,0.0,0.0
-12.870258834604213,-12.838123333571692,-12.854191084087953,0.0,0.004156322149601524,0.0,0.0
-12.838123333571692,-12.805987832539172,-12.822055583055432,0.0,0.01567489748646423,0.0,0.0
-12.805987832539172,-12.773852331506651,-12.789920082022912,0.0,0.047746243394152406,0.0,0.0
-12.773852331506651,-12.74171683047413,-12.757784580990391,0.0,0.11828718457902941,0.0,0.0
-12.74171683047413,-12.70958132944161,-12.72564907995787,0.0,0.24032807659778002,0.0,0.0
-12.70958132944161,-12.677445828409088,-12.693513578925348,0.18752214161423725,0.40460842515004247,0.2579701493252012,0.23708748509709165
-12.677445828409088,-12.645310327376567,-12.661378077892827,0.9230063222304309,0.5723942121456752,0.9316798879127487,0.8813682108624215
-12.645310327376567,-12.613174826344046,-12.629242576860307,0.8871838318940148,0.6945523102455254,0.8840689918371728,0.8692994511835057
-12.613174826344046,-12.581039325311526,-12.597107075827786,1.1999551717276182,0.746977059187157,0.8121858742327551,0.8288463722530898
-12.581039325311526,-12.548903824279005,-12.564971574795265,0.49729563029473317,0.7482445549092153,0.7851130117581132,0.825172211740204
-12.548903824279005,-12.516768323246485,-12.532836073762745,0.48797530732665434,0.7377907021834511,0.735635021718606,0.7951793874179732
-12.516768323246485,-12.484632822213964,-12.500700572730224,0.6261350725823684,0.7362967031371778,0.701404965716476,0.7767032797273654
-12.484632822213964,-12.452497321181442,-12.468565071697704,1.2132808708765985,0.733049460409427,0.6597065338592216,0.748786438886989
-12.452497321181442,-12.420361820148921,-12.436429570665181,0.7362084877912304,0.7112616192884486,0.6170745550204805,0.7165677312604167
-12.420361820148921,-12.3882263191164,-12.40429406963266,0.42463420585566203,0.6746135430154094,0.5875122339279392,0.6901196158442633
-12.3882263191164,-12.35609081808388,-12.37215856860014,0.6925623757406307,0.6428626799600075,0.5461249843980603,0.6556285610454168
-12.35609081808388,-12.32395531705136,-12.34002306756762,0.5377531723976134,0.6293805776393278,0.5551492718895339,0.6783489940127858
-12.32395531705136,-12.291819816018839,-12.307887566535099,0.5123467388524934,0.6297121434728411,0.5498591723255702,0.6809640395702045
-12.291819816018839,-12.259684314986316,-12.275752065502576,0.9980573268626727,0.6288121184826301,0.48606679523061386,0.6114877990804545
-12.259684314986316,-12.227548813953796,-12.243616564470056,0.36558940438018406,0.6149637748503013,0.46957413188414393,0.6002079558141767
-12.227548813953796,-12.195413312921275,-12.211481063437535,0.8223695514718597,0.587177899668225,0.46490639697475655,0.5949598409932125
-12.195413312921275,-12.163277811888754,-12.179345562405015,0.345997753748124,0.5528963816954114,0.43970062846408725,0.5665704204703836
-12.163277811888754,-12.131142310856234,-12.147210061372494,0.6605989600822271,0.5222510853605384,0.43129870562719347,0.5653336218004229
-12.131142310856234,-12.099006809823713,-12.115074560339973,0.4270079942032451,0.503369640340899,0.40951594271680897,0.5424265703533366
-12.099006809823713,-12.066871308791193,-12.082939059307453,0.2037030900512295,0.497679555023654,0.3827542625697636,0.5047429419250756
-12.066871308791193,-12.034735807758672,-12.050803558274932,0.8941547620661335,0.49817474869356965,0.36999578715077147,0.48915664564476463
-12.034735807758672,-12.00260030672615,-12.018668057242412,0.38750007240110856,0.4958489374458021,0.35288075914966494,0.47130856532230603
-12.00260030672615,-11.970464805693629,-11.98653255620989,0.4700170690755495,0.48753358497299065,0.35008011820405205,0.4690907091885235
-11.970464805693629,-11.938329304661108,-11.954397055177369,0.36350281672953944,0.4738770905239233,0.3391887367488149,0.4552771347575773
-11.938329304661108,-11.906193803628588,-11.922261554144848,0.7036805680831134,0.4528683967079955,0.33265390787567256,0.45134716913884604
-11.906193803628588,-11.874058302596067,-11.890126053112327,0.3424243898455215,0.42202498002934413,0.318961885474803,0.43011691943015884
-11.874058302596067,-11.841922801563546,-11.857990552079807,0.4103442328839514,0.3862224049221301,0.3096264156560283,0.4188627265339243
-11.841922801563546,-11.809787300531024,-11.825855051047284,0.31911326355554337,0.3583540344963932,0.29531202860055733,0.4037149143944192
-11.809787300531024,-11.777651799498503,-11.793719550014764,0.15489462528470552,0.3499178804493734,0.2956232109278662,0.40268807812201646
-11.777651799498503,-11.745516298465983,-11.761584048982243,0.3742456778311464,0.3609276597642063,0.27632990663573176,0.377495500073488
-11.745516298465983,-11.713380797433462,-11.729448547949723,0.5061097375892425,0.37936487212123166,0.2679279837988345,0.36843410777496105
-11.713380797433462,-11.681245296400942,-11.697313046917202,0.35242687168267045,0.3906714119963218,0.26388261354403214,0.3604803839420444
-11.681245296400942,-11.649109795368421,-11.665177545884681,0.5422353079253959,0.3873826418024766,0.25454714372525566,0.3503709164982115
-11.649109795368421,-11.6169742943359,-11.63304204485216,0.19574853912956033,0.3700367716072627,0.2349426571058322,0.3253349462750289
-11.6169742943359,-11.58483879330338,-11.60090654381964,0.5093404629934547,0.34247950255181847,0.23743211572417214,0.3316112223547483
-11.58483879330338,-11.552703292270857,-11.56877104278712,0.30800076064709625,0.309531389284629,0.24583403856105063,0.33962014641708244
