system,arm,release_role,data_identity,n,seeds,metric,mean,std,minimum,maximum
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,proposal_js,0.11446891341760579,0.0,0.11446891341760579,0.11446891341760579
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,weighted_js,0.08790117845539949,0.0,0.08790117845539949,0.08790117845539949
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,js_improvement,0.026567734962206296,0.0,0.026567734962206296,0.026567734962206296
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,proposal_pmf_error,10.281423532251342,0.0,10.281423532251342,10.281423532251342
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,weighted_pmf_error,5.993848507926312,0.0,5.993848507926312,5.993848507926312
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,pmf_error_improvement,4.2875750243250295,0.0,4.2875750243250295,4.2875750243250295
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,proposal_energy_wasserstein_w1,7.933065591381114,0.0,7.933065591381114,7.933065591381114
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,proposal_energy_wasserstein_w2,22.04794457323453,0.0,22.04794457323453,22.04794457323453
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,valid_mask_fraction,1.0,0.0,1.0,1.0
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,support_mask_fraction,1.0,0.0,1.0,1.0
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,included_sample_fraction,1.0,0.0,1.0,1.0
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,ess_fraction,0.13555407864712005,0.0,0.13555407864712005,0.13555407864712005
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,max_weight,0.008043825626373291,0.0,0.008043825626373291,0.008043825626373291
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,top_0p1_percent_mass,0.05104926857165992,0.0,0.05104926857165992,0.05104926857165992
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,top_1_percent_mass,0.186349643568974,0.0,0.186349643568974,0.186349643568974
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,logw_variance,60.85508520947113,0.0,60.85508520947113,60.85508520947113
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",1,3,logw_span,105.7553927898407,0.0,105.7553927898407,105.7553927898407
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",proposal_js,0.40555855102513516,0.017955448176572717,0.38201825930329314,0.42557419129635776
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",weighted_js,0.013673929930251785,0.002223373044865481,0.010562447700907418,0.015622214414893776
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",js_improvement,0.39188462109488337,0.01607519599992419,0.3714558116023857,0.4107370636214036
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",proposal_pmf_error,2.223922784342896,0.2089274793325226,1.9694422549533692,2.481185287718518
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",weighted_pmf_error,2.200332821683762,0.2537043471683282,1.89043294919321,2.511872653614922
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",pmf_error_improvement,0.023589962659134416,0.044790758652863145,-0.030687365896404195,0.0790093057601593
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",proposal_basin_l1,1.6367169271960913,0.03565779702798385,1.5898502605294245,1.6762702605294246
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",weighted_basin_l1,0.0005743488337130043,0.0003803453058145571,4.205437907868308e-05,0.0009075094004255147
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",proposal_energy_mean_error,3.2331825595188803,0.06595956139567952,3.142432749342783,3.297248360091558
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",weighted_energy_mean_error,-0.0005549185753223421,0.013858866437505212,-0.010444658926674677,0.019044201674514483
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",proposal_energy_mean_abs_error,3.2331825595188803,0.06595956139567952,3.142432749342783,3.297248360091558
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",weighted_energy_mean_abs_error,0.013251053024998663,0.004097036402879516,0.010264298473806832,0.019044201674514483
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",valid_mask_fraction,1.0,0.0,1.0,1.0
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",support_mask_fraction,1.0,0.0,1.0,1.0
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",included_sample_fraction,1.0,0.0,1.0,1.0
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",ess_fraction,0.14483469123064677,0.020430912453822288,0.12229374622481978,0.17175963990578777
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",max_weight,0.0009181134422154477,0.0005687043324796769,0.00043996566091664135,0.0017172480002045631
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",top_0p1_percent_mass,0.013156748762412462,0.003099158693857355,0.009057635666977149,0.01654985686764121
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",top_1_percent_mass,0.09126499482226791,0.014924489475589345,0.07024821607774356,0.10345619064901257
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",logw_variance,2.911507233420432,0.1269863252281009,2.7628249474271955,3.0730749409847014
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",logw_span,9.331155141194662,0.38365921084083787,8.94231367111206,9.853285074234009
mb2d,biased_bridge_only,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",proposal_js,0.5025788961378678,0.0036654397931806765,0.49843398545053635,0.507347266884821
mb2d,biased_bridge_only,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",weighted_js,0.03404619158423849,0.0013469030427118564,0.03229277272673384,0.03556738797353385
mb2d,biased_bridge_only,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,3,"0,1,2",js_improvement,0.46853270455362933,0.004240998997699531,0.4628665974770025,0.47306885283237327
